ORIGINAL_VALUE	LANGUAGE	URI	START	END
"Anverso: dibujo de una mujer con un conjunto de inspiración oriental formado por un pantalón hasta por debajo de la rodilla y una blusa blanca con estampado en violeta, con cuello a la caja y abrochada en el hombro y lado derecho por medio de botones. Como complementos lleva un gorro de clara inspiración china violeta, guantes cortos blancos y una sombrilla violeta también.  
En el anverso: Dibujo de tres cuartos de una mujer con un vestido de noche blanco con estampado rojo, con cuello `palabra de honor ´y falda con mucho vuelo. Se complementa con un echarpe cerrado.. La cara de la modelo está tachada con lapicero."	es	http://www.wikidata.org/entity/Q467	424	429
"Cartón marrón por el que se han pintado, por el anverso y por el reverso, dos dibujos a témpera de la firma de Alta Costura Pedro Rodríguez.   
El modelo del anverso corresponde un conjunto de campo y playa de la línea Mikado en la temporada primavera-verano 1955. El de el reverso es un traje de noche con escote `palabra de honor´ y un echarpe cerrado alrededor, por lo que podría ser de la línea Amaterasu y pertenecería a la colección primavera-verano 1954. Este tipo de figurines de gran formato se utilizaban para adornar las paredes de las sedes de la firma y de esta forma, hacer una primera presentación a las clientas de las líneas de cada temporada.   
Pedro Rodríguez nace en Valencia en 1895 y muere en Barcelona en 1990. Inaugura su casa de Alta Costura en 1919, que fue la primera que se abrió en España, y en 1940 fundó la Cooperativa de la Alta Costura, de la que fue presidente hasta su muerte. Fue el primer modisto español que presentó sus modelos en maniquíes vivos sobre los que modelaba la tela sólo con unos alfileres y unas tijeras. Después se hacia el patrón y el dibujo, que llevaba una muestra de tejido grapada, y todo ello pasaba a los talleres donde confeccionaban los modelos."	es	http://www.wikidata.org/entity/Q455602	399	408
"Sobre marco rosa, el diseño central está formado por un paisaje en el que destaca el fondo negro surcado por líneas onduladas plateadas (agua), que representa el curso de un río; en ambos márgenes, grupos de pinos en tonos verdes y ocres, recordando la forma de la seta mannentake, y entre ellos, dos carros.  
Los pinos, símbolos del invierno, se asocian a conceptos de amor, fidelidad y longevidad. Son célebres los pinos de Suminoe y Takasago, un matrimonio de árboles paradigma del longevo amor mutuo de los matrimonios humanos.   
Los carros de este tipo, tirados por bueyes, eran empleados por los miembros de la Casa Imperial y también por la alta aristocracia del período Heian (794-1185).  
Reishi o mannen take (hongo de los diez mil años) es el nombre japonés de la seta que los chinos llaman lingzhi (familia de las ganoderma), la seta de la inmortalidad, un hongo utilizado en la medicina tradicional china desde antiguo (se documenta ya en la dinastía Han oriental) al que se atribuyen virtudes casi milagrosas. Crecen en la base y tocones de los árboles caducos, aunque hoy día las que se venden son cultivadas. Su iconografía es recurrente en el arte oriental como símbolo de longevidad.  
Los libros de este tipo se conocían en Japón como hinagata-bon (literalmente, libros de las hermosas formas), y comenzaron a imprimirse ya a fines del siglo XVI para que los clientes pudieran elegir los diseños para sus ropas. Solían mostrar un quimono entero por página, y sus características se mantuvieron con pocos cambios hasta los primeros años del siglo XIX. En la época Meiji (1868-1912), a la que pertenecen nuestros libros, los hinagata-bon se habían vuelto más osados desde el punto de vista formal, y a menudo mostraban los diseños de forma asimétrica y parcial. Estos compendios de motivos textiles se cambiaban cada primavera y otoño, y los ejemplares de la colección anterior se revendían en el mercado de segunda mano. Algunos llamaron la atención de los occidentales, y de esta manera un cierto número de hinagata-bon ha terminado en colecciones europeas y americanas, entre las que se incluye la de la Biblioteca del Museo del Traje.  
Esta maravillosa serie de diseños en cinco volúmenes titulada Nihon o Nippon, es decir, Japón, es curiosamente una obra anónima; no consta ni el lugar de publicación, ni la fecha ni el editor. No obstante, sus características hacen pensar que fue impresa en Kyoto en los primeros años del siglo XX."	es	http://www.wikidata.org/entity/Q7209	957	969
"Dibujo de un figurín pintado al  gouache de la firma de Alta Costura Pedro Rodríguez. Lleva grapado un trozo de papel grapado en el que, mecanografiado, se señala que partes tiene el conjunto y los materiales y colores en los que habría que confeccionar.  
Este vestido fue diseñado en exclusiva por Pedro Rodriguez para los almacenes `Franklin Simon´ de Nueva York. Formaba parte de una colección llamada `Spanish Renaisance Collection´ que estos almacenes solicitaron al modisto. Era una colección de trajes de noche inspirados en retratos del Museo del Prado, en este caso, `La Duquesa de Osuna´ de Goya. Estos almacenes neoyorkinos se fundaron en 1902  y más que unos almacenes convencionales, eran un conjunto de tiendas agrupadas especializadas cada una en un tipo de mercancia diferente. La tienda principal especializada en moda femenina estaba en la 5ª Avenida. En el periódico New York Times del 25 de octubre de 1953, aparece un anuncio a toda página de algunos de estos modelos con sus figurines.  
Pedro Rodríguez nace en Valencia en 1895 y muere en Barcelona en 1990. Inaugura su casa de Alta Costura en 1919, que fue la primera que se abrió en España, y en 1940 fundó la Cooperativa de la Alta Costura, de la que fue presidente hasta su muerte. Fue el primer modisto español que presentó sus modelos en maniquíes vivos sobre los que modelaba la tela sólo con unos alfileres y unas tijeras. Después se hacia el patrón y el dibujo, que llevaba una muestra de tejido grapada, y todo ello pasaba a los talleres donde confeccionaban los modelos.   
El dibujante  de esta colección fue Ramón Gullón que comienza su carrera en la prensa francesa donde dibuja los modelos de modistos como Lanvin, Schiapparelli o Dior para revistas femeninas. Madame Rochas lo contrata como dibujante de su casa y Gullón hace las colecciones de 1948 a 1950. En esta época conoce a Pedro Rodríguez en Venecia que le contrata para su casa de Madrid. Desde 1951 a 1953 trabaja para  Pedro Rodríguez en doce colecciones entre ellas,  los 150 diseños del `Baile del siglo´ organizado por el Marqués de Cuevas en Biarriz con modelos inspirados en el siglo XVIII. Después se traslada a Nueva York donde ya presenta sus propias colecciones. A finales de los años 50 se instala en Madrid como modisto."	es	http://www.wikidata.org/entity/Q160112	546	561
"Contiene: Sansen = Tres líneas o Shamisen (instrumento de cuerda); Kanzakura = Flores de cerezo de invierno; Kusari = Cadena  
Fig. superior izquierda: sobre un rectángulo de color verde     militar se dispone un rayado vertical en el que se forman grupos de tres líneas (negras, negras, amarillas, negras, negras, amarillas...).  
Fig. superior derecha: sobre un rectángulo de color púrpura se dispone verticalmente una greca decorada a base de líneas de color naranja y verde, entre las que se insertan flores blancas de tres y  cinco pétalos.   
Fig. inferior: sobre un rectángulo de color verde se dispone una cadena horizontal con los contornos en negro, alternando finos eslabones rectangulares de color naranja con formas romboidales de color amarillo.  
  
La decoración de la figura superior derecha hace referencia a las flores de cerezo que brotan al final del invierno. De ahí el título, Kanzakura, o flores de cerezo de (la temporada de) kan. La temporada de kan (frío) o daikan (gran frío) se sitúa hoy alrededor del 20 de enero (en realidad 20 de febrero en el antiguo calendario lunar). En el Japón se considera auspiciosa a la flor y al árbol del cerezo.  
  
El shamisen es una especie de laúd de tres cuerdas, versión japonesa del siglo XVI del sanxian chino, a su vez adaptación china del siglo XIII de instrumentos del Asia Central islámica.   
  
Los libros de este tipo se conocían en Japón como hinagata-bon (literalmente, libros   
de las hermosas formas), y comenzaron a imprimirse ya a fines del siglo XVI para que los clientes pudieran elegir los diseños para sus ropas. Solían mostrar un quimono entero por página, y sus características se mantuvieron con pocos cambios hasta los primeros años del siglo XIX. En la época Meiji (1868-1912), a la que pertenecen nuestros libros, los hinagata-bon se habían vuelto más osados desde el punto de vista formal, y a menudo mostraban los diseños de forma asimétrica y parcial. Estos compendios de motivos textiles se cambiaban cada primavera y otoño, y los ejemplares de la colección anterior se revendían en el mercado de segunda mano. Algunos llamaron la atención de los occidentales, y de esta manera un cierto número de hinagata-bon ha terminado en colecciones europeas y americanas, entre las que se incluye la de la Biblioteca del Museo del Traje.  
La obra de Furuya se caracteriza por el uso de elementos abstractos en sus diseños en los que muestra un amplio abanico de texturas y colores incluyendo pigmentos metálicos como el dorado y el plateado. Hemos identificado la publicación de al menos seis libros de patrones de sus diseños de tejidos. Grandes instituciones, como el British Museum, conservan entre sus colecciones obra de Furuya."	es	http://www.wikidata.org/entity/Q9053464	2317	2322
Dibujo esquemático de una mujer de perfil. Lleva un vestido corto, que podría ser de cóctel,  muy ceñido, con escote `palabra de honor´ y del borde superior de la espalda, sale una pequeña cola. El dibujo se ha hecho con trazos gruesos en negro y los borde de estos están difuminados en violeta. Como complementos lleva un tocado y guantes en rojo.	es	http://www.wikidata.org/entity/Q28972621	323	329
"Superposición de elementos rectangulares de fondo rojo, azul o crema, con representaciones de diversos elementos. De arriba a abajo y de izquierda a derecha aparecen: un animal cuadrúpedo hecho de cuerda, un amuleto monetiforme con caballo inspirado en diseños de la dinastía Song, una hoja y baya blanca con una zona roja, una cabra, una serpiente de origami que pende de una cuerda, formas redondeadas, tal vez de animales, huevos sobre un enrejado verde, un tigre, y un dragón y dos conejos.  
  
Los amuletos monetiformes tienen la misma forma redonda con agujero central de las monedas orientales, aunque no presentan las mismas inscripciones que las monedas, sino una serie de imágenes y breves textos de buen augurio. El que aparece aquí no es invenciones del diseñador japonés del libro sino la reproducción de un amuletos real, una pieza china fabricada en la dinastía Song (960-1279). Prácticamente todas las monedas de bronce antiguas del Extremo Oriente, incluidas las japonesas, siguieron un modelo chino, atribuido al tiempo de Qin Shi Huang, el primer Emperador Qin (221-207 a. C.) Se trataba de las monedas banliang, piezas redondas, con un agujero cuadrado central y dos ideogramas escritos en su superficie. Este modelo combinaba la forma redonda y la cuadrada, o lo que es lo mismo, el Cielo y la Tierra; por eso resultaba tan adecuado además para realizar amuletos. De hecho, su morfología se mantuvo con escasa variación durante los siguientes dos mil años, y aún se utiliza en la actualidad tanto en China como en el Japón para fabricar talismanes no muy distintos al que vemos en este diseño.   
Tanto el caballo como la cabra, el tigere, el dragón, el conejo y la serpiente son animales del zodíaco chino, usado también en el Japón.   
La serpiente de papel del siseño recuerda a las franjas sagradas shide que cuelgan de las cuerdas sagradas shimenawa; también puede ser que remita a un juego de palabras: la palabra japonesa habitual para serpiente es ebi, pero en poesía suele emplearse el término kuchinawa, cuerda deteriorada.  
  
Los libros de este tipo se conocían en Japón como hinagata-bon (literalmente, libros de las hermosas formas), y comenzaron a imprimirse ya a fines del siglo XVI para que los clientes pudieran elegir los diseños para sus ropas. Solían mostrar un quimono entero por página, y sus características se mantuvieron con pocos cambios hasta los primeros años del siglo XIX. En la época Meiji (1868-1912), a la que pertenecen nuestros libros, los hinagata-bon se habían vuelto más osados desde el punto de vista formal, y a menudo mostraban los diseños de forma asimétrica y parcial. Estos compendios de motivos textiles se cambiaban cada primavera y otoño, y los ejemplares de la colección anterior se revendían en el mercado de segunda mano. Algunos llamaron la atención de los occidentales, y de esta manera un cierto número de hinagata-bon ha terminado en colecciones europeas y americanas, entre las que se incluye la de la Biblioteca del Museo del Traje.  
Esta maravillosa serie de diseños en cinco volúmenes titulada Nihon o Nippon, es decir, Japón, es curiosamente una obra anónima; no consta ni el lugar de publicación, ni la fecha ni el editor. No obstante, sus características hacen pensar que fue impresa en Kyoto en los primeros años del siglo XX."	es	http://www.wikidata.org/entity/Q9053464	3006	3011
"Hoja de bloc de dibujo con un dibujo a tinta china y color de la firma de Alta Costura Pedro Rodríguez. En el lado izquierdo tiene dos taladros.  
Estaba en una carpeta con la inscripción `parte otoño-invierno 1939´.   
Pedro Rodríguez nace en Valencia en 1895 y muere en Barcelona en 1990. Inaugura su casa de Alta Costura en 1919, que fue la primera que se abrió en España, y en 1940 fundó la Cooperativa de la Alta Costura, de la que fue presidente hasta su muerte. Fue el primer modisto español que presentó sus modelos en maniquíes vivos sobre los que modelaba la tela sólo con unos alfileres y unas tijeras. Después se hacia el patrón y el dibujo, que llevaba una muestra de tejido grapada, y todo ello pasaba a los talleres donde confeccionaban los modelos."	es	http://www.wikidata.org/entity/Q1492	272	281
"Dibujo de un figurín femenino de perfil a tinta china de la firma de Alta Costura Pedro Rodríguez.  
Posiblemente corresponda a la colección otoño-invierno 1953-54. Este tipo de figurines de gran formato se utilizaban para adornar las paredes de las sedes de la firma y de esta forma, hacer una primera presentación a las clientas de las líneas de cada temporada. Pedro Rodríguez nace en Valencia en 1895 y muere en Barcelona en 1990. Inaugura su casa de Alta Costura en 1919, que fue la primera que se abrió en España, y en 1940 fundó la Cooperativa de la Alta Costura, de la que fue presidente hasta su muerte. Fue el primer modisto español que presentó sus modelos en maniquíes vivos sobre los que modelaba la tela sólo con unos alfileres y unas tijeras. Después se hacia el patrón y el dibujo, que llevaba una muestra de tejido grapada, y todo ello pasaba a los talleres donde confeccionaban los modelos."	es	http://www.wikidata.org/entity/Q5720	388	396
"Dibujo de un figurín femenino hecho con un trazo de tinta china negra sobre un papel charol plateado, de la firma de Alta Costura Pedro Rodríguez.  
Este tipo de figurines de gran formato se utilizaban para adornar las paredes de las sedes de la firma y de esta forma, hacer una primera presentación a las clientas de las líneas de cada temporada aunque en el caso de los dibujos esquemáticos, su destino era principalmente la promoción en la prensa escrita de las colecciones.Pedro Rodríguez nace en Valencia en 1895 y muere en Barcelona en 1990. Inaugura su casa de Alta Costura en 1919, que fue la primera que se abrió en España, y en 1940 fundó la Cooperativa de la Alta Costura, de la que fue presidente hasta su muerte. Fue el primer modisto español que presentó sus modelos en maniquíes vivos sobre los que modelaba la tela sólo con unos alfileres y unas tijeras. Después se hacia el patrón y el dibujo, que llevaba una muestra de tejido grapada, y todo ello pasaba a los talleres donde confeccionaban los modelos."	es	http://www.wikidata.org/entity/Q5720	501	509
