ORIGINAL_VALUE	LANGUAGE	URI	START	END
"Een courtisane doet bij kaarslicht  haar paarse handwarmers uit, ter voorbereiding op de nacht. Met één gedicht. Het concept van ""Acht gezichten"" stamt uit de Chinees dichtkunst, waarna het werd overgenomen door de Chinese schilderkunst, en vervolgens ook de Japanse. Het was één van de eerste thema`s die in de Japanse prentkunst werd gebruikt, waarbij het werd gecombineerd met beroemde plekken rond het Biwa meer in de provincie Ômi (Acht gezichten op Ômi), of bijvoorbeeld de hoofdstad Edo (Acht gezichten op de Oostelijke hoofdstad). Ook komt het veelvuldig in andere samenstellingen voor, zoals bijvoorbeeld de verschillende dagdelen, over het algemeen afgebeeld in combinatie met modebewuste dames."	nl	http://www.wikidata.org/entity/Q919348	215	236
Klokvormige kop van porselein, beschilderd op het glazuur in blauw, rood, groen, zwart en goud. Op de buitenwand in een medaillon het wapen van de familie Van Reverhorst omringd door andere familiewapens. Het wapen is verdeeld in vier velden: 1. en 4. op een blauwe achtergrond twee sleutels, 2. en 3. op een witte achtergrond drie ruiten in rood. Het helmteken is een paard met vleugels. Het dekkleed bestaat uit groene palmtakken en bloemknoppen. De andere wapens die zijn afgebeeld, van links naar recht: Van Reverhorst, De Winter, Vereyck, De Bruyn, Groenendijk, Van Rhenen, Schrevelius. Het geheel moet de familiestamboom van de familie Van Reverhorst weergeven. Op de buitenrand een Europese ornamentband met schelpmotieven en ranken. Wapenporselein met emailkleuren.	nl	http://www.wikidata.org/entity/Q2202637	579	590
Deksel van peervormige melkkan van porselein, beschilderd op het glazuur in zwart en goud. Op de deksel met een band ranken en twee losse bloemen. Deksel niet behorend bij kan. Encre de Chine.	nl	http://www.wikidata.org/entity/Q12981547	177	191
"Dit sieraad is aan de bovenkant versierd met een monsterkop (kala). Duidelijk zijn de lange tanden, tong en onderkaak te zien. Dit karakteriseert hem als een verdere ontwikkeling van de monsterkop op de Midden-Javaanse candi's (heiligdommen), waarbij de onderkaak ontbrak. Op de hoeken is aan weerskanten een Garuda kop aangebracht. Hieraan hangen aan weerskanten linten of banden naar beneden, waar aan de onderkant makara's, waterdieren of de visolifant te zien zijn. Dit maakt het sieraad een voorbeeld van het klassieke Kala-Makara motief op een Oost-Javaanse manier. De makara's zijn hier uitgebeeld als gekroonde slangen, naga's. De Garuda's zijn overigens geen traditionele onderdelen van het Kala-Makara motief. In het midden zijn drie wielen (sudarsanacakra's) aangebracht, symbolen, die mogelijk met de god Vishnu worden geassocieerd, als symbool van de verdelging van vijanden. Deze associatie wordt versterkt door de Garuda koppen; immers Garuda is het rijdier van Vishnu. Er is ook geopperd dat het symbool staat voor de verschillende zonnestanden, t.w. zonsopgang, de hoogste stand aan de hemel om 12 uur en zonsondergang, maar dat is niet zeker. 
De aan ringen hangende lovertjes versieringen zijn waarschijnlijk in opdracht van de voormalige Chinese eigenaar uit Tulungagung uit Kediri toegevoegd. Het Nationale Museum in Jakarta heeft een zeer vergelijkbaar sieraad, gekocht van dezelfde Chinese eigenaar, waarbij dit ook gebeurd is (col.nr. 6816/A112). Volgens Galestin werden wel meer oude Indo-Javaanse sieraden, verfraaid door hun Chinese eigenaren. Ook de brochespeld aan de achterkant is waarschijnlijk later toegevoegd. Een particulier kocht beide exemplaren voor 1939 van de Chinese eigenaar en daarna is het door het Koloniaal Museum in Amsterdam verworven. 

Hoe dit sieraad exact gedragen is, blijft onduidelijk. Er zijn geen beelden of reliefs met een dergelijke sieraad bekend. 

Jan Fontijn, 1992
Galestin, 1939"	nl	http://www.wikidata.org/entity/Q161439	1375	1382
Bord van porselein, beschilderd op het glazuur in blauw, rood, groen, zwart en goud. Op het plat het wapen van de familie Van Reverhorst omringd door andere familiewapens. Het wapen is verdeeld in vier velden: 1. en 4. op een blauwe achtergrond twee sleutels, 2. en 3. op een witte achtergrond drie ruiten in rood. Het helmteken is een paard omringd door vleugels. Het dekkleed bestaat uit groene palmtakken en bloemknoppen. Op de wand een band met bloemen; de rand met een Europese ornamentband met schelpmotieven en ranken. De andere wapens die zijn afgebeeld, van links naar recht: Van Reverhorst, De Winter, Vereyck, De Bruyn, Groenendijk, Van Rhenen, Schrevelius. Het geheel moet de familiestamboom van de familie Van Reverhorst weergeven. Wapenporselein met emailkleuren.	nl	http://www.wikidata.org/entity/Q2202637	656	667
"Chinees altaarkleed, bestemd voor een voorouderaltaar binnenshuis. De doek is verdeeld in twee vlakken boven elkaar, waarbij het bovenste vlak even groot als 1/3 deel van het onderste vlak is. In dit bovenste vlak staan mandjes met druiven, ander fruit en bloemen. Het onderste vlak bevat twee herten en twee tijgers rond een cirkel waarin nog twee fabeldieren.
Peranakan afbeelding van dieren en planten zijn niet gebonden aan regels zoals bij Islamitische groepen. Derhalve zijn zulke afbeeldingen vol fantasie. In Chinese volkskunst hebben decoraties altijd een betekenis.
Het smallere deel van het kleed ligt gewoonlijk op het altaar, terwijl het bredere deel er overheen hangt. Een altaarkleed staat symbool voor het 'kusha-gras' van Boeddha's troon en is een uiting van perfectie, de puurheid van de natuur, en van ware verlichting (McCabe Elliot, 1984). 
Deze rok is gemaakt in een Indo-Chinese batikkerij en was bestemd voor gebruik door Indo-Chinezen."	nl	http://www.wikidata.org/entity/Q189233	749	754
Kom van porselein met geribde wand en geschulpte rand, beschilderd op het glazuur in blauw, rood, groen, zwart en goud. Op de buitenwand tweemaal het wapen van de familie De Heere van Holy. Het helmteken is een ster en het wapen is omgeven door bladranken. Oud label op de onderzijde met 'Pieter de Heere van Holy'. Wapenporselein met emailkleuren.	nl	http://www.wikidata.org/entity/Q8436	163	170
Doos van steengoed, beschilderd in onderglazuur blauw en op het glazuur rood en groen. De wand van de doos is gemodelleerd in vakken met afwisselend servetwerk of een bloeiende plant. Decoratie in navolging van het Chinese kraakporselein.	nl	http://www.wikidata.org/entity/Q1965056	223	237
Keizer Justinianus zit op een troon en ontvangt uit de handen van twee monniken een bamboestok met de eieren van de zijdeworm. De monniken hadden deze eieren uit China gesmokkeld en daarmee was het Chinese monopolie op zijde gebroken. Op de achtergrond alle fasen van de zijdebewerking. Eerst worden de moerbeibladeren geplukt. Vervolgens worden de zijdewormen op de bladeren losgelaten. Daarna wordt de zijde geoogst en weven vrouwen er textiel van. De prent maakt deel uit van een negentiendelige serie over nieuwe uitvindingen en ontdekkingen.	nl	http://www.wikidata.org/entity/Q102241987	427	434
Beeld van porselein op voetstuk, bedekt met een doorschijnend wit glazuur. Een zittende Guanyin op haar troon met een kind op schoot; aan weerszijden van de troon oorspronkelijk twee adoranten op een lotusbloem of peul, waarvan nog één aanwezig; boven de adoranten oorspronkelijk twee attributen, waarvan alleen het boek aanwezig; rond de troon kronkelen twee vierklauwige draken; de voet met golven. Twee onderdelen missend; hand kind gerestaureerd; enkele vingers Guanyin missend; bakscheur in het voetstuk. Blanc de Chine.	nl	http://www.wikidata.org/entity/Q715162	88	95
Het gezelschap bij olieboortoren en oliebel nummer vier. Onderdeel van het fotoalbum van Dolph Kessler met opnamen die hij maakte tijdens zijn verblijf in Engeland en op een wereldreis die hij als secretaris van Henri Deterding (directeur Koninklijke Olie) ondernam naar Nederlands-Indië, Japan, China en de Verenigde Staten, tussen 1906 en 1908.	nl	http://www.wikidata.org/entity/Q648454	212	227
Gezicht op het Plaza hotel vanuit Central Park, New York. Onderdeel van het fotoalbum van Dolph Kessler met opnamen die hij maakte tijdens zijn verblijf in Engeland en op een wereldreis die hij als secretaris van Henri Deterding (directeur Koninklijke Olie) ondernam naar Nederlands-Indië, Japan, China en de Verenigde Staten, tussen 1906 en 1908.	nl	http://www.wikidata.org/entity/Q160409	34	46
De poort, die mogelijk toegang biedt tot een stad of dorp, is versierd met guirlandes en bloemen. Naast de poort staan bouwwerken (vermoedelijk een soort steigers) opgesteld. Blad 8 recto van een katern van 10 bladen afkomstig uit een schetsboek.	nl	http://www.wikidata.org/entity/Q53060	107	112
Theepot van rood steengoed met gebogen tuit en ijzeren handvaten. De hoge, cilindrische pot is voorzien van een filter en een plat deksel. Gemerkt op de onderzijde met een gedrukt zegelmerk. Yixing.	nl	http://www.wikidata.org/entity/Q1015788	191	197
Boven een ruïne te Chinchow, met op de achtergrond de baai, onder de behandeling van Chinese krijgsgevangenen voor het ziekenhuis te Chinchow.	nl	http://www.wikidata.org/entity/Q16917	119	129
Toegangshek naar het Chinese kerkhof aan de Wanicastraat te Paramaribo, boven het hek een bord met Chinese tekens, het jaartal 1890 en de naam Willemsrust of Willems Rust. Onderdeel van het fotoalbum Souvenir de Voyage (deel 2), over het leven van de familie Doijer in en rond de plantage Ma Retraite in Suriname in de jaren 1906-1913.	nl	http://www.wikidata.org/entity/Q730	304	312
