ORIGINAL_VALUE	LANGUAGE	URI	START	END
"Bild ur mapp märkt ""Sculpture, Animals, 6 Dynasties, 4"". Coll. Vignier, Paris."	sv	http://www.wikidata.org/entity/Q90	72	77
Xiéqùyuan, The Garden of Harmonious Interests. En liten trädgård i sommarpalatset.	sv	http://www.wikidata.org/entity/Q4132	67	81
Enligt text under Pl. 8 Kinas trädgårdar Vol. I: Ett hörn av bortersta gården i Wangshihuayuan i Suzhou.	sv	http://www.wikidata.org/entity/Q42622	97	103
Det under striderna sönderskjutna stadsbiblioteket, Civic Centre, Shanghai.	sv	http://www.wikidata.org/entity/Q8686	66	74
1. Nya motorpedbåten nr.4, som nyligen  anlänt till Stockholm från England. / 2. Konstföreningen har öppnat en uppmärksammad utställning i Liljewalchs konsthall. / 3. Stockholms konserthus  - Sådant det ter sig, sedan de yttre arbetena avslutats. / 4. De Blindas dag / 5. Velodromen vid Hornsberg (tävlingar) / 6. Stockholms Skytteförbund	sv	http://www.wikidata.org/entity/Q21	67	74
Johan Gunnar Andersson showing the collections to Crown Prince Gustaf Adolf in Stockholm (From Isaksson, ed. Kungen gräver) (Fiskesjö 2004, s. 94)	sv	http://www.wikidata.org/entity/Q954811	0	22
Kvinna med bärkorgar i Mangshi, Yunnan, 1962.	sv	http://www.wikidata.org/entity/Q43194	32	38
Enligt text under Pl. 201 Kinas trädgårdar Vol. I: Wan Shou Shan. Wan Fo Tian, ” De Tiotusen Buddhaernas Hall”, klädd med små Buddha-reliefer i gulglaserat tegel och ornament av samma material i flera färger.	sv	http://www.wikidata.org/entity/Q7055	126	132
Trädgård med träd och stenformationer. Två barn befinner sig i trädgården.	sv	http://www.wikidata.org/entity/Q1107656	0	8
Folksamling på en gata i Luoyang, 1962.	sv	http://www.wikidata.org/entity/Q187136	25	32
Bro över vattendrag. Barn tvättar stora lass med tvätt på strandkanten.	sv	http://www.wikidata.org/entity/Q852100	49	54
En ung man med en fågelbur i sin hand.	sv	http://www.wikidata.org/entity/Q8441	7	10
"Grottempel med dekorerad pelare. Enligt text på fotokuvert: Yunkang 1922. Bild ur mapp märkt ""Sculpture 1 China Yün Kang Caves I-VII"". 云冈石窟; traditional Chinese: 雲崗石窟; pinyin: Yúngāng Shíkū; Wuzhoushan Grottoes."	sv	http://www.wikidata.org/entity/Q148	153	160
